EUR
+U1418343   SCTY    2014-12-04, 15:27:06    2014-12-09  -   BUY 25  51.7000 -1,292.50   -1.00   0.00     
+U1418343   SCTY    2014-12-05, 10:28:42    2014-12-10  -   BUY 25  53.5000 -1,337.50   -1.00   0.00     
+U1418343   SCTY    2014-12-05, 10:44:00    2014-12-10  -   BUY 50  53.2500 -2,662.50   -1.00   0.00     
+U1418343   SCTY    2014-12-08, 10:09:09    2014-12-11  -   BUY 25  53.6500 -1,341.25   -1.00   0.00     
+U1418343   SCTY    2014-12-08, 10:16:26    2014-12-11  -   BUY 50  53.5100 -2,675.50   -1.00   0.00     
+U1418343   SCTY    2014-12-08, 11:36:07    2014-12-11  -   BUY 100 53.2600 -5,326.00   -1.00   0.00     
+U1418343   SCTY    2014-12-08, 11:37:48    2014-12-11  -   BUY 50  53.0100 -2,650.50   -1.00   0.00     
+U1418343   SCTY    2014-12-09, 09:34:47    2014-12-12  -   BUY 25  50.0100 -1,250.25   -1.00   0.00     
+U1418343   SCTY    2014-12-09, 09:34:54    2014-12-12  -   BUY 25  49.5000 -1,237.50   -1.00   0.00     
+U1418343   SCTY    2014-12-10, 14:40:06    2014-12-15  -   BUY 25  50.2600 -1,256.50   -1.00   0.00     
+U1418343   SCTY    2014-12-11, 15:52:15    2014-12-16  -   BUY 25  50.7500 -1,268.75   -1.00   0.00     
+U1418343   SCTY    2014-12-17, 10:20:03    2014-12-22  -   BUY 25  48.0100 -1,200.25   -1.00   0.00     
+U1418343   SCTY    2014-12-29, 09:49:59    2015-01-02  -   BUY 25  57.0100 -1,425.25   -1.00   0.00     
+U1418343   SCTY    2014-12-30, 09:37:27    2015-01-05  -   BUY 25  55.0100 -1,375.25   -1.00   0.00     
+U1418343   SCTY    2015-01-05, 09:43:43    2015-01-08  -   BUY 25  50.7800 -1,269.50   -1.00   0.00     
+U1418343   SCTY    2015-01-05, 11:16:07    2015-01-08  -   BUY 50  50.7800 -2,539.00   -1.00   0.00     
